受付_年月日,全国地方公共団体コード,都道府県名,市区町村名,相談件数
2021-07-05,160008,富山県,,26
2021-07-06,160008,富山県,,25
2021-07-07,160008,富山県,,35
2021-07-08,160008,富山県,,16
2021-07-09,160008,富山県,,22
2021-07-10,160008,富山県,,27
2021-07-11,160008,富山県,,27
2021-07-12,160008,富山県,,34
2021-07-13,160008,富山県,,24
2021-07-14,160008,富山県,,23
2021-07-15,160008,富山県,,27
2021-07-16,160008,富山県,,40
2021-07-17,160008,富山県,,28
2021-07-18,160008,富山県,,30
2021-07-19,160008,富山県,,40
2021-07-20,160008,富山県,,29
2021-07-21,160008,富山県,,38
2021-07-22,160008,富山県,,54
2021-07-23,160008,富山県,,56
2021-07-24,160008,富山県,,64
2021-07-25,160008,富山県,,47
2021-07-26,160008,富山県,,60
2021-07-27,160008,富山県,,59
2021-07-28,160008,富山県,,47
2021-07-29,160008,富山県,,48
2021-07-30,160008,富山県,,52
2021-07-31,160008,富山県,,85
2021-08-01,160008,富山県,,58
2021-08-02,160008,富山県,,65
2021-08-03,160008,富山県,,76
2021-08-04,160008,富山県,,67
2021-08-05,160008,富山県,,65
2021-08-06,160008,富山県,,83
2021-08-07,160008,富山県,,74
2021-08-08,160008,富山県,,94
2021-08-09,160008,富山県,,101
2021-08-10,160008,富山県,,115
2021-08-11,160008,富山県,,94
2021-08-12,160008,富山県,,96
2021-08-13,160008,富山県,,112
2021-08-14,160008,富山県,,162
2021-08-15,160008,富山県,,137
2021-08-16,160008,富山県,,182
2021-08-17,160008,富山県,,182
2021-08-18,160008,富山県,,204
2021-08-19,160008,富山県,,181
2021-08-20,160008,富山県,,154
2021-08-21,160008,富山県,,131
2021-08-22,160008,富山県,,155
2021-08-23,160008,富山県,,157
2021-08-24,160008,富山県,,125
2021-08-25,160008,富山県,,125
2021-08-26,160008,富山県,,118
2021-08-27,160008,富山県,,104
2021-08-28,160008,富山県,,99
2021-08-29,160008,富山県,,98
2021-08-30,160008,富山県,,119
2021-08-31,160008,富山県,,100
2021-09-01,160008,富山県,,79
2021-09-02,160008,富山県,,69
2021-09-03,160008,富山県,,87
2021-09-04,160008,富山県,,79
2021-09-05,160008,富山県,,92
2021-09-06,160008,富山県,,98
2021-09-07,160008,富山県,,69
2021-09-08,160008,富山県,,53
2021-09-09,160008,富山県,,49
2021-09-10,160008,富山県,,50
2021-09-11,160008,富山県,,49
2021-09-12,160008,富山県,,55
2021-09-13,160008,富山県,,50
2021-09-14,160008,富山県,,39
2021-09-15,160008,富山県,,30
2021-09-16,160008,富山県,,43
2021-09-17,160008,富山県,,18
2021-09-18,160008,富山県,,49
2021-09-19,160008,富山県,,49
2021-09-20,160008,富山県,,44
2021-09-21,160008,富山県,,46
2021-09-22,160008,富山県,,38
2021-09-23,160008,富山県,,46
2021-09-24,160008,富山県,,48
2021-09-25,160008,富山県,,40
2021-09-26,160008,富山県,,36
2021-09-27,160008,富山県,,39
2021-09-28,160008,富山県,,43
2021-09-29,160008,富山県,,30
2021-09-30,160008,富山県,,26
2021-10-01,160008,富山県,,21
2021-10-02,160008,富山県,,35
2021-10-03,160008,富山県,,20
2021-10-04,160008,富山県,,40
2021-10-05,160008,富山県,,24
2021-10-06,160008,富山県,,26
2021-10-07,160008,富山県,,28
2021-10-08,160008,富山県,,18
2021-10-09,160008,富山県,,27
2021-10-10,160008,富山県,,25
2021-10-11,160008,富山県,,37
2021-10-12,160008,富山県,,27
2021-10-13,160008,富山県,,23
2021-10-14,160008,富山県,,27
2021-10-15,160008,富山県,,24
2021-10-16,160008,富山県,,20
2021-10-17,160008,富山県,,15
2021-10-18,160008,富山県,,27
2021-10-19,160008,富山県,,19
2021-10-20,160008,富山県,,19
2021-10-21,160008,富山県,,21
2021-10-22,160008,富山県,,20
2021-10-23,160008,富山県,,13
2021-10-24,160008,富山県,,25
2021-10-25,160008,富山県,,21
2021-10-26,160008,富山県,,22
2021-10-27,160008,富山県,,13
2021-10-28,160008,富山県,,8
2021-10-29,160008,富山県,,23
2021-10-30,160008,富山県,,15
2021-10-31,160008,富山県,,17
2021-11-01,160008,富山県,,19
2021-11-02,160008,富山県,,14
2021-11-03,160008,富山県,,8
2021-11-04,160008,富山県,,17
2021-11-05,160008,富山県,,15
2021-11-06,160008,富山県,,17
2021-11-07,160008,富山県,,12
2021-11-08,160008,富山県,,24
2021-11-09,160008,富山県,,16
2021-11-10,160008,富山県,,19
2021-11-11,160008,富山県,,20
2021-11-12,160008,富山県,,11
2021-11-13,160008,富山県,,8
2021-11-14,160008,富山県,,7
2021-11-15,160008,富山県,,20
2021-11-16,160008,富山県,,12
2021-11-17,160008,富山県,,6
2021-11-18,160008,富山県,,6
2021-11-19,160008,富山県,,6
2021-11-20,160008,富山県,,11
2021-11-21,160008,富山県,,4
2021-11-22,160008,富山県,,14
2021-11-23,160008,富山県,,10
2021-11-24,160008,富山県,,15
2021-11-25,160008,富山県,,11
2021-11-26,160008,富山県,,5
2021-11-27,160008,富山県,,8
2021-11-28,160008,富山県,,8
2021-11-29,160008,富山県,,16
2021-11-30,160008,富山県,,6
2021-12-01,160008,富山県,,17
2021-12-02,160008,富山県,,7
2021-12-03,160008,富山県,,4
2021-12-04,160008,富山県,,7
2021-12-05,160008,富山県,,5
2021-12-06,160008,富山県,,13
2021-12-07,160008,富山県,,10
2021-12-08,160008,富山県,,13
2021-12-09,160008,富山県,,7
2021-12-10,160008,富山県,,7
2021-12-11,160008,富山県,,1
2021-12-12,160008,富山県,,11
2021-12-13,160008,富山県,,16
2021-12-14,160008,富山県,,12
2021-12-15,160008,富山県,,8
2021-12-16,160008,富山県,,15
2021-12-17,160008,富山県,,5
2021-12-18,160008,富山県,,6
2021-12-19,160008,富山県,,8
2021-12-20,160008,富山県,,21
2021-12-21,160008,富山県,,11
2021-12-22,160008,富山県,,18
2021-12-23,160008,富山県,,23
2021-12-24,160008,富山県,,16
2021-12-25,160008,富山県,,19
2021-12-26,160008,富山県,,9
2021-12-27,160008,富山県,,23
2021-12-28,160008,富山県,,21
2021-12-29,160008,富山県,,27
2021-12-30,160008,富山県,,17
2021-12-31,160008,富山県,,25
2022-01-01,160008,富山県,,9
2022-01-02,160008,富山県,,26
2022-01-03,160008,富山県,,28
2022-01-04,160008,富山県,,32
2022-01-05,160008,富山県,,42
2022-01-06,160008,富山県,,44
2022-01-07,160008,富山県,,35
2022-01-08,160008,富山県,,73
2022-01-09,160008,富山県,,92
2022-01-10,160008,富山県,,74
2022-01-11,160008,富山県,,108
2022-01-12,160008,富山県,,66
2022-01-13,160008,富山県,,83
2022-01-14,160008,富山県,,64
2022-01-15,160008,富山県,,75
2022-01-16,160008,富山県,,62
2022-01-17,160008,富山県,,97
2022-01-18,160008,富山県,,96
2022-01-19,160008,富山県,,113
2022-01-20,160008,富山県,,125
2022-01-21,160008,富山県,,212
2022-01-22,160008,富山県,,307
2022-01-23,160008,富山県,,148
2022-01-24,160008,富山県,,225
2022-01-25,160008,富山県,,228
2022-01-26,160008,富山県,,224
2022-01-27,160008,富山県,,207
2022-01-28,160008,富山県,,196
2022-01-29,160008,富山県,,241
2022-01-30,160008,富山県,,223
2022-01-31,160008,富山県,,272
2022-02-01,160008,富山県,,224
2022-02-02,160008,富山県,,223
2022-02-03,160008,富山県,,190
2022-02-04,160008,富山県,,218
2022-02-05,160008,富山県,,233
2022-02-06,160008,富山県,,222
2022-02-07,160008,富山県,,240
